year,country,"Charges for the use of intellectual property, payments (BoP, current US$)","Charges for the use of intellectual property, receipts (BoP, current US$)",Research and development expenditure (% of GDP),Scientific and technical journal articles,"Patent applications, nonresidents","Patent applications, residents",High-technology exports (current US$),High-technology exports (% of manufactured exports)
2007,NAC,32782385728.0305,88332606437.7217,2.54858896154699,448367.646492074,249940.0,246345.0,271196984350.0,26.3809076461061
2007,NLD,32109653218.255,24972584758.3597,1.67030000686646,25817.72,367.0,2079.0,83812029231.0,29.0637289988816
2007,NOR,168936737.425428,192009723.075014,1.5579400062561,7799.09,5431.0,1225.0,4446013282.0,17.9336632987451
2007,NZL,611066531.841278,157643217.54016,1.15763998031616,6148.62,5952.0,1892.0,666691693.0,10.1031516801271
2007,POL,1575000000.0,103000000.0,0.561930000782013,22093.36,361.0,2392.0,4362127682.0,3.88296143291345
2007,PRT,479505309.520777,87685085.7397634,1.12416994571686,7678.64,31.0,250.0,3502617645.0,8.60304968297568
2007,ROU,247969547.874922,41369245.3806237,0.51147997379303,4987.51,59.0,827.0,1426932274.0,4.41976998737353
2007,RUS,2703970000.0,351530000.0,1.11610996723175,30957.09,11934.0,27505.0,4336664850.0,7.19003040640838
2007,SGP,9810419779.24513,874658975.671845,2.31985998153687,8184.89,9255.0,696.0,109551455435.0,48.5781058323874
2007,SRB,143606535.029883,10450323.7728915,0.578769981861115,2990.22,121.0,395.0,264518037.0,4.54619756956742
2007,SVN,168773215.458147,18713598.9632909,1.42702996730804,2750.26,15.0,331.0,1322363319.0,5.68650889024498
2007,SWE,1856019768.75849,4732526539.64635,3.23382997512817,16896.47,398.0,2527.0,21938427989.0,16.8057230661083
2007,THA,2288640000.0,54120000.0,0.200800001621246,4728.42,5873.0,945.0,32633216169.0,28.0254613728005
2007,URY,7633470.99905988,30000.0,0.421590000391006,386.57,739.0,35.0,49306192.0,3.67828827689323
2007,USA,24615000000.0,84497000000.0,2.61515998840332,396306.1,214807.0,241347.0,240663518341.0,29.8991351588255
2007,ZAF,1596250884.98113,75106030.2632775,0.79364001750946,5997.09,7402.0,915.0,1933150392.0,5.95382266922537
2008,ARG,1531726727.27288,99367650.4020731,0.470550000667572,6229.5,4781.0,801.0,2014827039.0,9.3281735319394
2008,AUS,3014708355.27786,746149101.650395,2.39897990226746,37767.96,23525.0,2821.0,4470937082.0,15.3573763049257
2008,AUT,2092660688.12775,1166742028.45033,2.56944990158081,10426.33,329.0,2298.0,17673554679.0,12.6611194672378
2008,AZE,4827000.0,13000.0,0.165539994835854,482.58,7.0,226.0,7426765.0,1.15011689518748
2008,BEL,2023023359.04968,1515830243.09017,1.93684005737305,14332.71,133.0,575.0,31672630338.0,8.94694983794495
2008,BGR,95185418.7623821,11411533.0804541,0.447310000658035,2345.31,22.0,249.0,803738388.0,6.9730376031483
2008,BIH,10797196.7351314,4772375.14706026,0.0184199996292591,398.8,12.0,59.0,139640670.0,4.50732451890723
2008,BLR,75200000.0,4700000.0,0.741469979286194,1070.73,220.0,1510.0,417729396.0,2.43408127577588
2008,BRA,2697171000.0,465444000.0,1.12904000282288,35574.01,18890.0,4280.0,10797889271.0,12.761526959305
2008,CAN,8923454841.05939,4129666783.75991,1.85578000545502,53779.61,37028.0,5061.0,30132655640.0,15.1830451903737
2008,CHE,9827709892.80524,11060842598.9433,2.65296006202698,17517.85,439.0,1594.0,43496431152.0,24.704650878
2008,CHL,580067917.725452,41572549.83,0.374920010566711,3759.34,3421.0,531.0,656558020.0,6.55905205616484
2008,CHN,10319466356.1387,570536223.222954,1.44591999053955,248120.21,95259.0,194579.0,391875971833.0,29.4319344493349
2008,COL,470855703.125,54104212.890625,0.195409998297691,2357.93,1818.0,126.0,475948292.0,4.01539209090487
2008,CYP,70969541.6351864,283460.68701207,0.385939985513687,508.23,10.0,11.0,123587752.0,32.0172372189529
2008,CZE,859173450.847654,144904843.582737,1.23357999324799,10752.64,142.0,712.0,20149160155.0,15.789935033416
2008,DEU,8632835619.01579,7335720009.32003,2.61512994766235,93343.56,13177.0,49240.0,183092780221.0,15.076241600562
2008,DNK,1194906781.00425,2369450702.44633,2.77345991134644,9294.1,195.0,1634.0,12417941733.0,16.8570341112745
2008,ECS,144071866923.285,100105387495.149,1.72281689510144,626930.848947594,125789.0,224231.0,729759941964.0,15.3543877467871
2008,EST,49797157.7946299,26859382.8509898,1.25188004970551,1143.75,10.0,62.0,915174912.0,11.4380079895671
2008,FIN,2253386654.98076,1489349689.87353,3.53696990013123,9647.85,147.0,1799.0,16911748578.0,21.4878899291626
2008,FRA,10435073227.356,15472604431.7447,2.06117010116577,66839.35,1761.0,14658.0,98888839634.0,21.4617976728355
2008,GBR,11460112996.2673,17441720025.3965,1.6090099811554,92751.47,6856.0,16523.0,67549496673.0,20.6167865586516
2008,GRC,713441167.63438,43866779.279913,0.661830008029938,11787.68,30.0,628.0,1561744986.0,10.8506674946219
2008,GTM,71710050.0,11920490.0,0.062899999320507,36.23,306.0,5.0,157358135.0,4.33440120130752
2008,HRV,258616774.40675,43791239.6505787,0.875680029392242,3738.88,71.0,330.0,936967178.0,9.51913007541723
2008,HUN,2596029138.02298,1706117940.48249,0.977569997310638,6481.82,89.0,683.0,21678437000.0,24.9681371276167
2008,ISR,908300000.0,956700000.0,4.25511980056763,11395.53,6214.0,1528.0,9659078000.0,17.0560538737395
2008,ITA,7233846030.93843,3969313813.78758,1.15971994400024,56415.8,861.0,8588.0,29484983562.0,6.67785706953952
2008,JPN,18311541938.9621,25700583119.7173,3.29223990440369,107614.13,60892.0,330110.0,130519449472.0,18.8248542197178
2008,KOR,5823400000.0,2434300000.0,2.9888699054718,43923.63,43518.0,127114.0,111219694589.0,30.4501393108657
2008,LTU,34497330.7416607,888219.590771635,0.78931999206543,2532.98,18.0,87.0,1548661446.0,11.7990904690431
2008,LUX,423290760.138353,152640717.339713,1.54663002490997,323.29,23.0,48.0,1146735631.0,8.01129332081582
2008,LVA,35304159.5949414,13018922.3194649,0.577199995517731,651.28,9.0,206.0,430112106.0,7.39421308134547
2008,MDG,49735633.2453643,4875901.40621255,0.117640003561974,82.64,63.0,14.0,80367513.0,7.02799508201066
2008,MEX,2393935171.0,189263368.0,0.424160003662109,10353.88,15896.0,685.0,43764789930.0,20.6169583313567
2008,MKD,24890350.0,5837465.0,0.223580002784729,294.38,5.0,34.0,38587386.0,1.35146861315539
2008,MLT,890095875.279286,817331616.73791,0.526669979095459,179.3,34.0,14.0,1346412378.0,50.4422658837563
2008,NAC,36693783215.0273,93801776463.7241,2.65916088342182,453135.939038699,261761.0,236649.0,273264688346.0,25.4353797239635
2008,NLD,36253036932.0383,28328367949.3128,1.62268996238708,26794.65,311.0,2421.0,78409728585.0,26.0445135250103
2008,NOR,459851143.978155,232763020.763768,1.54556000232697,7992.95,4280.0,1150.0,5404015530.0,18.648312613033
2008,POL,1773000000.0,207000000.0,0.599439978599548,23900.02,290.0,2488.0,7363448740.0,5.29132736892917
2008,PRT,534829333.623536,68794426.2509166,1.44334995746613,8752.22,24.0,381.0,3575493699.0,8.23640610235864
2008,ROU,345932437.511076,238076253.93795,0.552150011062622,6995.64,36.0,995.0,2632265882.0,6.92496899261142
2008,RUS,4480510000.0,406370000.0,1.04435002803802,32732.4,14137.0,27712.0,5491417754.0,6.97848830225968
2008,SGP,13604164838.3557,1213617593.72094,2.59674000740051,8706.65,8899.0,793.0,123694088415.0,52.6889727453077
2008,SVK,220252619.417297,266361996.696117,0.46136999130249,3317.19,75.0,167.0,3057611776.0,5.08514306780719
2008,SVN,254656317.101105,41174018.8725395,1.62672996520996,3048.87,6.0,301.0,1647932996.0,6.48513705089615
2008,SWE,2063470051.24661,4706590246.08313,3.46999001502991,16772.64,306.0,2549.0,23713778281.0,17.2485871067251
2008,THA,2567130000.0,100800000.0,0.203309997916222,5490.98,5839.0,902.0,33562601078.0,26.3795419620076
2008,TUN,12498562.8005437,29623217.0272627,0.63933002948761,2767.78,472.0,76.0,768243968.0,5.55706130977155
2008,URY,16625936.3912042,96000.0,0.374410003423691,441.63,706.0,33.0,82005246.0,5.32890409470788
2008,USA,27764000000.0,89672000000.0,2.74481010437012,399273.41,224733.0,231588.0,243132032706.0,28.4192806106129
2008,ZAF,1675904016.53214,78842738.1260898,0.805670022964478,6403.51,7081.0,860.0,2089264358.0,5.48391780856689
2009,ARG,1526895360.76094,105965489.617584,0.583980023860931,6819.11,4336.0,640.0,1607442803.0,9.02970287161486
2009,AUT,1712417781.69954,1005495405.80813,2.59674000740051,10977.59,292.0,2263.0,14165206601.0,13.4379155011383
2009,AZE,19229000.0,1800000.0,0.249760001897812,630.91,17.0,264.0,4537422.0,1.01646066894248
2009,BEL,1934877742.41634,2557958273.71556,1.99860000610352,14799.65,148.0,669.0,32169554713.0,11.3575445439539
2009,BGR,117239687.563586,10027643.597313,0.493380010128021,2682.99,24.0,242.0,754771930.0,8.66603328283179
2009,BLR,76000000.0,9500000.0,0.621670007705688,1205.3,173.0,1753.0,319783299.0,3.15196093442081
2009,BRA,2512044100.0,433807800.0,1.11865997314453,38510.99,18135.0,4271.0,8461145153.0,14.7587820517537
2009,CAN,8922065282.94892,3604954463.00577,1.9174200296402,55876.68,32410.0,5067.0,25646491962.0,17.8727014855854
2009,CHL,651680780.860161,25423242.8,0.354030013084412,3981.25,1374.0,343.0,475672103.0,6.60527531133329
2009,CHN,11065271082.0,429452520.0,1.66480004787445,285755.68,85508.0,229096.0,359685956947.0,31.9775769727453
2009,COL,510385125.0,48221626.953125,0.193509995937347,2705.91,1551.0,128.0,492118043.0,5.55422595416521
2009,CZE,842489141.188645,177970514.71691,1.28656005859375,11107.58,92.0,789.0,17073608123.0,17.4435406790909
2009,DEU,7008622136.38977,7212871240.40563,2.74266004562378,96399.98,11724.0,47859.0,158722553273.0,16.7942910292468
2009,DNK,1379377382.60746,2607872589.30152,3.05514001846313,9790.04,131.0,1518.0,11258588931.0,18.9310512130896
2009,ECS,129887717620.306,98400183398.9635,1.81442423705286,653925.081769462,111028.0,217062.0,625774807804.0,16.9807468235317
2009,EST,45861418.97409,24466201.9528963,1.39679002761841,1166.8,20.0,76.0,615941848.0,11.3859368486444
2009,FIN,1477245035.7673,1734928257.78779,3.73401999473572,10026.71,127.0,1806.0,8741751895.0,18.0159799627138
2009,FRA,8387238481.47801,12671414489.1486,2.21206998825073,68546.59,1593.0,14100.0,88002941740.0,24.123557619924
2009,GBR,10473073185.8168,18027179234.9615,1.66990995407104,95006.68,6480.0,15985.0,48685088911.0,20.4685287071557
2009,GRC,654722897.271051,47980894.6703352,0.625569999217987,12048.84,22.0,698.0,1363815916.0,12.2271784242893
2009,GTM,85633650.0,11760150.0,0.0562000013887882,55.78,322.0,7.0,149657665.0,4.81668302494517
2009,HRV,212636457.421672,32218180.391018,0.833039999008179,4128.56,68.0,250.0,793006198.0,11.3084573800093
2009,HUN,1981316302.18137,1701293482.78518,1.12802004814148,6045.91,30.0,757.0,18119145000.0,26.7279190713587
2009,IND,1860070100.10474,191939516.593492,0.833140015602112,53200.44,27025.0,7262.0,11219528624.0,9.56909614274288
2009,ISL,46763922.0451044,163966020.309759,2.59713006019592,480.44,22.0,64.0,246422112.0,31.5381171469776
2009,ISR,898600000.0,762600000.0,4.04515981674194,11233.23,5387.0,1387.0,10540404000.0,23.3965145235289
2009,ITA,6142374753.37807,3270322889.40337,1.21786999702454,58491.98,903.0,8814.0,25668989067.0,7.80028749421402
2009,JPN,16834677241.2227,21697984664.1582,3.19589996337891,109026.54,53281.0,295315.0,103919965322.0,20.4459731275094
2009,KGZ,5662074.0,1690333.0,0.159970000386238,34.73,3.0,146.0,10988696.0,5.03034666094534
2009,KOR,7355600000.0,3255400000.0,3.14668989181519,45957.42,36207.0,127316.0,103766364470.0,32.1484365401841
2009,LTU,29088375.1425034,366729.108997095,0.830839991569519,2297.94,16.0,91.0,961430531.0,10.5429057899843
2009,LUX,307324041.679232,216997256.084342,1.58838999271393,395.45,24.0,60.0,1044211102.0,10.3204694049142
2009,LVA,25205434.2204388,7004601.1949698,0.448579996824265,713.04,3.0,240.0,374743451.0,8.66152115643862
2009,MDA,10630000.0,4340000.0,0.525569975376129,181.42,5.0,134.0,10339752.0,5.8425319301887
2009,MDG,42458444.223107,3294718.27584115,0.130539998412132,85.76,43.0,1.0,11497504.0,1.77094523853078
2009,MEX,2511538314.0,182722212.0,0.457480013370514,10632.1,13459.0,822.0,38927526530.0,22.6859342702857
2009,MKD,20239756.76,6166075.0,0.196789994835854,324.34,11.0,39.0,53493337.0,2.91510152627636
2009,MLT,1614425761.00391,1165693004.79408,0.507390022277832,168.7,21.0,8.0,1006410358.0,48.0270778039104
2009,MYS,1133119332.94089,265724707.230903,1.01001000404358,7850.72,4503.0,1234.0,56043588431.0,51.224505755519
2009,NAC,38352382966.1829,89334980105.8921,2.71492622929112,459968.389304147,263604.0,229979.0,176624630429.0,23.0744041018501
2009,NLD,27455344834.7344,24628066099.7217,1.66569995880127,28747.75,279.0,2575.0,67945347790.0,28.0439383106726
2009,NOR,317624196.874938,124282336.761653,1.71677994728088,8868.25,2358.0,1246.0,4893704319.0,19.9197869658293
2009,NZL,578826768.01175,184995177.611571,1.25214004516602,6683.61,4803.0,1555.0,521238449.0,9.91231926776552
2009,POL,1542000000.0,103000000.0,0.661059975624084,23783.14,241.0,2899.0,7803885489.0,7.06915176344878
2009,PRT,562301734.083903,151136668.04389,1.58001005649567,9560.16,46.0,571.0,1617971205.0,4.7945586664894
2009,ROU,367264725.022367,192935362.584179,0.443949997425079,8722.51,37.0,1054.0,3349425457.0,10.4128996910458
2009,RUS,3987050000.0,380760000.0,1.2519199848175,33541.86,12966.0,25598.0,4780780606.0,9.68372100443805
2009,SAS,1961696656.49467,203726855.355573,0.776001262591566,60100.48,27500.0,7519.0,11547072582.0,8.22067788848632
2009,SGP,13438021506.0115,1430580234.61351,2.12789988517761,9004.41,7986.0,750.0,99697714507.0,50.8971583102219
2009,SVK,189975719.54895,94130182.8083444,0.472719997167587,3119.94,63.0,176.0,3058542733.0,6.34058376905376
2009,SVN,289021239.9118,34584444.65689,1.81184005737305,3231.92,12.0,373.0,1331688478.0,6.84793570752288
2009,SWE,1855773288.71431,4599531239.93576,3.39527988433838,17638.1,463.0,2186.0,18595606024.0,18.7732990037937
2009,THA,2247540000.0,64150000.0000001,0.234549999237061,6046.99,4832.0,1025.0,30093421406.0,27.5086988698478
2009,TUN,13774971.7650108,25031937.9385681,0.706439971923828,3227.47,452.0,105.0,744466250.0,6.83757720483912
2009,URY,21950555.7290322,148000.0,0.402390003204346,483.83,750.0,30.0,81823095.0,6.36034327316486
2009,USA,29421000000.0,85730000000.0,2.79181003570557,404007.54,231194.0,224912.0,150978138467.0,24.3626446890131
2009,ZAF,1658023464.63747,75704499.3644478,0.749930024147034,7199.52,5913.0,822.0,1483141300.0,5.88169177356284
2010,ARG,1712212409.7066,152187821.078051,0.561039984226227,7153.65,4165.0,552.0,1686224603.0,7.68411002023335
2010,AUS,3478361073.29944,978059795.188933,2.37009000778198,42096.62,22478.0,2409.0,4556153586.0,16.5133012608061
2010,AUT,1610873767.96537,925872141.125538,2.72609996795654,11211.53,249.0,2424.0,15801989058.0,13.7053738878044
2010,AZE,16531000.0,149000.0,0.218480005860329,603.88,17.0,254.0,7200494.0,1.368551660922
2010,BEL,1905030685.13708,2480222841.12553,2.06188011169434,15080.34,140.0,620.0,18062114104.0,9.26523010448885
2010,BGR,114240000.0,18320000.0,0.562990009784698,2606.28,17.0,243.0,852976590.0,8.40425157698357
2010,BLR,102700000.0,8500000.0,0.669130027294159,1054.44,174.0,1759.0,408291304.0,3.05811242066529
2010,BRA,3346848904.31,189605958.45,1.15991997718811,41760.03,20771.0,4228.0,8821852402.0,12.590146869358
2010,CAN,9731280814.35961,2813939869.12986,1.82503998279572,56793.27,30899.0,4550.0,26567981070.0,15.5005412945327
2010,CHL,792074056.837984,36137062.39,0.331649988889694,4235.52,748.0,328.0,541804285.0,6.23958186648753
2010,CHN,13039546459.0,830483814.0,1.7137199640274,309193.41,98111.0,293066.0,474737980237.0,32.1501169663397
2010,COL,615031453.125,72661187.5,0.193580001592636,3169.79,1739.0,133.0,451119242.0,5.36253459586992
2010,CZE,945086547.381638,249267461.616847,1.32669997215271,12461.34,114.0,868.0,20408146674.0,17.8761073763384
2010,DEU,7115326141.84701,8276542348.34052,2.73024010658264,98512.11,12198.0,47047.0,179620897366.0,16.8896855327149
2010,DNK,1325847662.92862,2030589542.92525,2.91706991195679,10314.12,142.0,1626.0,9012037384.0,15.4688409278647
2010,ECS,141494110641.906,107821316534.731,1.77694450958099,670534.226471663,121885.0,227012.0,694535308448.0,17.0918909430887
2010,EST,60041345.4112553,20323470.1587301,1.57898998260498,1416.28,13.0,84.0,1253045395.0,15.7346506591757
2010,FIN,1508665557.86435,2318716972.87157,3.70531988143921,10072.37,102.0,1731.0,7052407551.0,13.1468637622035
2010,FRA,10014878125.61,13625132122.8949,2.17857003211975,68992.83,1832.0,14748.0,105353015788.0,26.3233800074675
2010,GBR,10848526786.918,17989652061.3854,1.63885998725891,95150.46,6439.0,15490.0,66763505658.0,23.3036586296348
2010,GRC,626946377.359651,68694446.770791,0.603470027446747,11935.23,16.0,728.0,1293893167.0,11.5956558548605
2010,GTM,88639330.0,12735430.0,0.0442100018262863,52.0,374.0,7.0,228548345.0,6.33675998210945
2010,HRV,224741363.125468,31592952.4885625,0.730549991130829,3971.29,21.0,257.0,817139883.0,10.1821121281211
2010,HUN,1799363441.47378,2046859456.77692,1.12864995002747,5954.49,47.0,649.0,20245844000.0,25.9226978578988
2010,IND,2438302981.08653,127378163.310578,0.788489997386932,60265.62,30909.0,8853.0,10668887032.0,7.73016032755592
2010,ISR,831500000.0,849400000.0,3.86329007148743,10959.72,5856.0,1450.0,10584549000.0,19.3753611640664
2010,ITA,6545120561.61615,3641187900.8658,1.21797001361847,58776.67,846.0,8877.0,29268480484.0,8.01620176122679
2010,JPN,18768647813.3267,26680317333.8952,3.10494995117188,108732.89,54517.0,290081.0,130091252319.0,19.1226872782363
2010,KEN,17804542.2862949,53797178.4322631,0.692219972610474,750.61,120.0,77.0,117847746.0,6.71761896936788
2010,KGZ,2586897.0,1094534.0,0.155469998717308,34.82,6.0,134.0,2970808.0,1.23075543833002
2010,KOR,9182900000.0,3188400000.0,3.3157799243927,50338.95,38296.0,131805.0,132322493748.0,32.1343974843399
2010,LCN,10682849404.3012,765311488.579772,0.732700575732171,73523.4395653714,46886.0,6390.0,64274151183.0,13.7400491874867
2010,LTU,34801068.0216449,896495.773448774,0.78329998254776,2338.86,6.0,108.0,1263210387.0,11.2469941524538
2010,LUX,188014603.603334,206644755.791299,1.4237300157547,452.89,21.0,79.0,963101610.0,8.77866237669306
2010,LVA,33039281.2409812,11964205.3391053,0.605710029602051,810.5,7.0,178.0,430956978.0,8.45678449620594
2010,MDA,12750000.0,4860000.0,0.366499990224838,173.69,11.0,139.0,20486361.0,9.70481569946037
2010,MDG,26814639.3909513,2957342.06560148,0.099030002951622,80.16,34.0,9.0,18882374.0,3.32586748234115
2010,MEX,3015243396.0,228976236.0,0.473529994487762,11244.42,13625.0,951.0,49221673862.0,22.1357931748892
2010,MKD,17758539.0,6932020.0,0.216340005397797,355.48,1.0,27.0,81123621.0,3.55666779374215
2010,MLT,1592818522.5535,1214198489.22777,0.587409973144531,194.46,7.0,12.0,1185075425.0,47.1711651946079
2010,MYS,1318006092.34174,100651423.327879,1.03608000278473,10937.69,5152.0,1231.0,66075248917.0,49.6090958943542
2010,NAC,40855077394.0102,97781943141.5477,2.62715639447037,470584.091864371,279148.0,246527.0,192701817287.0,21.1775337286419
2010,NLD,30404258377.922,26984693486.1471,1.70404005050659,29400.04,240.0,2527.0,77595336626.0,27.8649964298346
2010,NOR,633879635.595425,338588556.409627,1.6411999464035,9078.32,696.0,1117.0,4943819869.0,20.3684826960087
2010,POL,2248000000.0,237000000.0,0.726189970970154,24723.17,227.0,3203.0,9591093862.0,7.71908956828028
2010,PRT,595846046.608944,46372790.3318901,1.53529000282288,10632.46,46.0,499.0,1498647775.0,4.07310618132986
2010,ROU,445022001.07731,463481056.307565,0.44666001200676,9877.38,36.0,1382.0,4856879314.0,12.5284153668524
2010,RUS,4841800000.0,386220000.0,1.13020002841949,34294.25,13778.0,28722.0,5291117660.0,9.42324237619253
2010,SAS,2609955128.93338,138117584.877852,0.762064155681154,68098.8,32400.0,9258.0,11041876213.0,7.00794905862015
2010,SGP,17029305529.2414,1933394857.6283,1.92918002605438,9957.9,8878.0,895.0,131632426274.0,52.3392376030999
2010,SVK,168358820.910815,47093179.4915156,0.605499982833862,3566.62,48.0,234.0,4117586378.0,7.36428920468002
2010,SVN,344190440.568542,38031012.541414,2.05133008956909,3230.1,11.0,442.0,1259925784.0,6.07894837150916
2010,SWE,1498265136.39091,5812957074.80179,3.1678900718689,17935.11,353.0,2196.0,22906423844.0,19.4114842380157
2010,TUN,15159983.2331983,24800894.2294257,0.658060014247894,3459.9,508.0,113.0,999336267.0,8.00203925750649
2010,URY,26557142.3963474,201000.0,0.328819990158081,500.67,761.0,23.0,116183374.0,7.26032715676365
2010,USA,31115000000.0,94968000000.0,2.71444010734558,413704.71,248249.0,241977.0,166133836217.0,22.6194775165319
2010,ZAF,1941103068.73478,113985144.628534,0.662840008735657,7697.27,5562.0,821.0,2498966663.0,6.23857301454241
2011,ARG,2079139111.3222,155396388.283537,0.565970003604889,7625.07,4133.0,688.0,1926430908.0,7.32173060164583
2011,AUS,4181860654.29426,948333508.18577,2.23445010185242,45374.3,23143.0,2383.0,5601419629.0,17.9516177655559
2011,AUT,1864971067.60686,1038988008.35362,2.66867995262146,11806.83,276.0,2154.0,17846798301.0,13.2554242490317
2011,AZE,18423000.0,23000.0,0.210840001702309,640.75,12.0,193.0,10332315.0,1.73182118665393
2011,BEL,2895143844.68342,2533613936.39068,2.17332005500793,15583.08,127.0,636.0,19710705572.0,8.67483840621061
2011,BGR,140180000.0,11950000.0,0.529500007629395,2459.0,21.0,262.0,1062699686.0,7.8156879376439
2011,BLR,89200000.0,22800000.0,0.677600026130676,1114.89,146.0,1725.0,515422700.0,2.56526353011436
2011,BRA,3865929486.76,300800012.92,1.13966000080109,44155.52,23954.0,4695.0,9144676228.0,11.1409081379377
2011,CAN,10411408151.0839,3348091955.20745,1.78714001178741,57715.63,30357.0,4754.0,27501347864.0,14.7126429740351
2011,CHL,899039284.397366,55297350.49,0.352880001068115,4534.62,2453.0,339.0,554621392.0,5.1208381746501
2011,CHN,14706108691.0,743301698.0,1.78033995628357,323331.81,110583.0,415829.0,540460754934.0,30.5004796644425
2011,COL,753789593.75,83017587.890625,0.198420003056526,3541.93,1770.0,183.0,433809511.0,4.67963034404329
2011,CZE,1179217303.25258,284733070.499894,1.54477000236511,13384.8,97.0,783.0,26864951093.0,18.7153527152583
2011,DEU,7405166331.67609,10723917538.9948,2.80555009841919,101238.25,12458.0,46986.0,202328061352.0,16.3417186285114
2011,DNK,1412631899.88576,2467921752.07129,2.94464993476868,11432.71,197.0,1574.0,10408230833.0,15.2745652031744
2011,ECS,161108402754.221,124280447311.289,1.78341705688807,696401.890667386,118649.0,222070.0,784564411164.0,16.2949624827862
2011,EST,74447963.3833869,22438019.7551406,2.30521988868713,1397.32,15.0,62.0,2547547680.0,22.2268275715382
2011,FIN,1576638925.29761,3238674269.52785,3.61806011199951,10343.68,124.0,1650.0,6421629231.0,11.0754610454262
2011,FRA,10545784932.3541,15344865099.7735,2.19161009788513,70701.69,2099.0,14655.0,112010151896.0,25.1193585926138
2011,GBR,12192632708.9887,18554025262.1749,1.64681005477905,96414.12,6916.0,15343.0,75837991775.0,23.3057218186911
2011,GRC,556622104.34375,69091286.6532309,0.684260010719299,11931.57,19.0,722.0,1402486556.0,11.2505862199212
